,ENSEMBLE,REAL,ZONE,REGION,BULK_OIL,PORE_OIL,HCPV_OIL,STOIIP_OIL
74,iter-0,12,MidReek,1,260359943.77,46816438.21,37535328.77,23607124.61
75,iter-0,12,MidReek,2,0.0,0.0,0.0,0.0
76,iter-0,12,LowerReek,1,140841623.98,25664563.95,20870616.77,13126173.85
77,iter-0,12,LowerReek,2,0.0,0.0,0.0,0.0
78,iter-0,13,UpperReek,1,299275583.99,49634778.07,38123900.45,23977295.48
79,iter-0,13,UpperReek,2,0.0,0.0,0.0,0.0
80,iter-0,13,MidReek,1,253661699.42,45350497.33,35828266.81,22533500.76
81,iter-0,13,MidReek,2,0.0,0.0,0.0,0.0
82,iter-0,13,LowerReek,1,127075902.75,23689357.77,18926346.52,11903362.39
83,iter-0,13,LowerReek,2,0.0,0.0,0.0,0.0
84,iter-0,14,UpperReek,1,245234613.75,37788109.76,26779560.31,16842490.49
85,iter-0,14,UpperReek,2,0.0,0.0,0.0,0.0
86,iter-0,14,MidReek,1,180683840.54,31985681.3,23348589.34,14684647.13
87,iter-0,14,MidReek,2,0.0,0.0,0.0,0.0
88,iter-0,14,LowerReek,1,109180674.03,18290750.91,13941062.1,8767963.44
89,iter-0,14,LowerReek,2,0.0,0.0,0.0,0.0
90,iter-0,15,UpperReek,1,280285308.79,44354110.15,32260553.84,20289656.17
91,iter-0,15,UpperReek,2,0.0,0.0,0.0,0.0
92,iter-0,15,MidReek,1,225541480.17,35984022.93,25864212.4,16266799.98
93,iter-0,15,MidReek,2,0.0,0.0,0.0,0.0
94,iter-0,15,LowerReek,1,117823992.71,20207945.81,14531068.74,9139036.79
95,iter-0,15,LowerReek,2,0.0,0.0,0.0,0.0
96,iter-0,16,UpperReek,1,261901223.99,39992122.4,30029004.57,18886166.08
97,iter-0,16,UpperReek,2,0.0,0.0,0.0,0.0
98,iter-0,16,MidReek,1,239247090.79,41479620.63,32704707.01,20568997.77
99,iter-0,16,MidReek,2,0.0,0.0,0.0,0.0
100,iter-0,16,LowerReek,1,139595733.41,28096753.6,22893644.77,14398518.48
101,iter-0,16,LowerReek,2,0.0,0.0,0.0,0.0
102,iter-0,17,UpperReek,1,295359963.93,44877051.92,31513843.54,19820027.05
103,iter-0,17,UpperReek,2,0.0,0.0,0.0,0.0
104,iter-0,17,MidReek,1,243486306.66,41313415.98,31991371.07,20120358.83
105,iter-0,17,MidReek,2,0.0,0.0,0.0,0.0
106,iter-0,17,LowerReek,1,137959259.83,24014628.05,19080728.93,12000458.24
107,iter-0,17,LowerReek,2,0.0,0.0,0.0,0.0
108,iter-0,18,UpperReek,1,286375956.54,43187678.05,31088138.83,19552288.25
109,iter-0,18,UpperReek,2,0.0,0.0,0.0,0.0
110,iter-0,18,MidReek,1,214277763.34,39644727.03,31114793.4,19569052.12
111,iter-0,18,MidReek,2,0.0,0.0,0.0,0.0
112,iter-0,18,LowerReek,1,126174495.79,24485915.11,19601058.96,12327709.83
113,iter-0,18,LowerReek,2,0.0,0.0,0.0,0.0
114,iter-0,19,UpperReek,1,274524851.92,40392892.92,28374685.61,17845713.92
115,iter-0,19,UpperReek,2,0.0,0.0,0.0,0.0
116,iter-0,19,MidReek,1,205733137.48,34235100.04,26354536.39,16575179.84
117,iter-0,19,MidReek,2,0.0,0.0,0.0,0.0
118,iter-0,19,LowerReek,1,126291421.59,22831808.9,17156536.16,10790274.13
119,iter-0,19,LowerReek,2,0.0,0.0,0.0,0.0
120,iter-0,20,UpperReek,1,306748086.55,42628960.48,28689868.25,18043941.99
121,iter-0,20,UpperReek,2,0.0,0.0,0.0,0.0
122,iter-0,20,MidReek,1,245216428.67,39733745.5,29930651.01,18824308.5
123,iter-0,20,MidReek,2,0.0,0.0,0.0,0.0
124,iter-0,20,LowerReek,1,151029310.46,28017061.15,22533135.87,14171783.33
125,iter-0,20,LowerReek,2,0.0,0.0,0.0,0.0
126,iter-0,21,UpperReek,1,324116358.91,46952214.33,33239665.44,20905449.61
127,iter-0,21,UpperReek,2,0.0,0.0,0.0,0.0
128,iter-0,21,MidReek,1,222140259.83,40488643.13,32122147.49,20202608.15
129,iter-0,21,MidReek,2,0.0,0.0,0.0,0.0
130,iter-0,21,LowerReek,1,120041977.7,22130738.9,17332268.89,10900797.86
131,iter-0,21,LowerReek,2,0.0,0.0,0.0,0.0
132,iter-0,22,UpperReek,1,324056234.13,50858935.14,37210250.59,23402672.94
133,iter-0,22,UpperReek,2,0.0,0.0,0.0,0.0
134,iter-0,22,MidReek,1,220019270.51,36839769.0,28373424.41,17844920.72
135,iter-0,22,MidReek,2,0.0,0.0,0.0,0.0
136,iter-0,22,LowerReek,1,138053677.56,28502285.69,23499017.8,14779256.23
137,iter-0,22,LowerReek,2,0.0,0.0,0.0,0.0
138,iter-0,23,UpperReek,1,293647287.04,44906979.6,32594379.6,20499609.47
139,iter-0,23,UpperReek,2,0.0,0.0,0.0,0.0
140,iter-0,23,MidReek,1,228093155.95,40503778.76,30768684.72,19351373.72
141,iter-0,23,MidReek,2,0.0,0.0,0.0,0.0
142,iter-0,23,LowerReek,1,125794791.35,25342406.78,20820488.6,13094646.7
143,iter-0,23,LowerReek,2,0.0,0.0,0.0,0.0
144,iter-0,24,UpperReek,1,314300222.75,47147109.69,34768623.1,21867058.19
145,iter-0,24,UpperReek,2,0.0,0.0,0.0,0.0
146,iter-0,24,MidReek,1,253464576.15,44678422.91,35817099.59,22526477.35
147,iter-0,24,MidReek,2,0.0,0.0,0.0,0.0
148,iter-0,24,LowerReek,1,120281205.64,23725931.79,19287959.01,12130791.63
149,iter-0,24,LowerReek,2,0.0,0.0,0.0,0.0
150,iter-0,25,UpperReek,1,289552675.32,42261459.44,29573577.3,18599733.84
151,iter-0,25,UpperReek,2,0.0,0.0,0.0,0.0
152,iter-0,25,MidReek,1,169182184.86,31170579.36,24261212.25,15258623.8
153,iter-0,25,MidReek,2,0.0,0.0,0.0,0.0
